ID,FormRE,Area,Height,Width,Direction,RoadInFront,Juridical,NumOfBed,Terrace,CarParking,DinningRoom,Kitchen,Price
17079,"Đất thổ cư, đất ở",40.0,12.7,3.14,_,2.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1280000000.0
17080,"Nhà, ngõ, hẻm",75.0,15.5,4.5,Đông,2.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2500000000.0
17081,"Đất thổ cư, đất ở",50.0,12.5,4.0,Tây Nam,3.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1250000000.0
17082,"Đất nông, công, lâm nghiệp",6.2,68.0,90.0,_,3.5,Sổ hồng/ Sổ đỏ,,True,True,True,True,5300000000.0
17083,"Nhà, ngõ, hẻm",40.0,10.8,3.7,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3800000000.0
17084,"Biệt thự, nhà liền kề",53.0,11.0,5.0,_,6.0,Sổ hồng/ Sổ đỏ,9.0,True,True,True,True,14800000000.0
17085,"Biệt thự, nhà liền kề",127.0,20.0,8.0,_,5.0,,6.0,True,True,True,True,14000000000.0
17086,"Biệt thự, nhà liền kề",55.0,14.0,4.2,_,5.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,10200000000.0
17087,"Nhà, ngõ, hẻm",135.0,,7.2,_,6.0,Sổ hồng/ Sổ đỏ,50.0,True,True,True,True,9700000000.0
17088,"Nhà mặt phố, nhà mặt tiền",69.0,14.0,5.0,_,12.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,14500000000.0
17089,"Nhà, ngõ, hẻm",32.0,7.0,5.0,_,3.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,7000000000.0
17090,"Nhà, ngõ, hẻm",120.0,18.0,6.5,_,10.0,,10.0,True,True,True,True,19500000000.0
17091,"Nhà, ngõ, hẻm",64.0,16.0,4.0,_,6.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,8500000000.0
17092,"Nhà mặt phố, nhà mặt tiền",110.0,21.0,5.0,_,30.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,8500000000.0
17093,"Đất nền, đất liền kề, đất dự án",75.0,17.0,4.5,_,7.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,2000000000.0
17094,"Biệt thự, nhà liền kề",110.0,22.0,5.0,_,10.0,,4.0,True,True,True,True,22500000000.0
17095,"Biệt thự, nhà liền kề",125.0,25.0,5.0,_,20.0,,5.0,True,True,True,True,25000000000.0
17096,"Đất thổ cư, đất ở",290.0,13.0,22.0,_,4.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,2290000000.0
17097,"Nhà mặt phố, nhà mặt tiền",96.0,16.0,6.0,_,12.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,14000000000.0
17098,"Nhà mặt phố, nhà mặt tiền",336.0,56.0,6.0,Nam,25.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,39000000000.0
17099,"Đất thổ cư, đất ở",60.0,15.5,4.0,_,20.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,1440000000.0
17100,"Nhà mặt phố, nhà mặt tiền",300.0,15.0,4.5,_,8.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,7500000000.0
17101,"Nhà mặt phố, nhà mặt tiền",300.0,16.0,4.5,_,12.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,4800000000.0
17102,"Nhà mặt phố, nhà mặt tiền",300.0,15.0,4.5,_,12.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,4900000000.0
17103,"Nhà mặt phố, nhà mặt tiền",300.0,15.0,4.5,_,12.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,4800000000.0
17104,"Nhà, ngõ, hẻm",43.0,11.0,4.0,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3390000000.0
17105,"Nhà, ngõ, hẻm",60.0,12.0,5.0,Tây Bắc,6.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,15000000000.0
17106,"Nhà, ngõ, hẻm",50.0,12.0,4.5,Tây Nam,6.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,9800000000.0
17107,"Nhà, ngõ, hẻm",130.0,21.5,5.7,Tây,6.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,32500000000.0
17108,"Nhà mặt phố, nhà mặt tiền",75.0,15.0,5.0,_,8.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,12500000000.0
17109,"Nhà, ngõ, hẻm",40.0,,4.0,_,6.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,7000000000.0
17110,"Biệt thự, nhà liền kề",570.0,26.0,24.0,_,25.0,,7.0,True,True,True,True,129000000000.0
17111,"Đất thổ cư, đất ở",60.0,15.0,4.0,_,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1250000000.0
17112,"Nhà mặt phố, nhà mặt tiền",120.0,15.0,4.0,_,6.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,1350000000.0
17113,"Phòng trọ, nhà trọ",259.0,52.0,5.0,_,6.0,Sổ hồng/ Sổ đỏ,12.0,True,True,True,True,1350000000.0
17114,"Đất thổ cư, đất ở",140.0,26.0,5.5,_,7.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1220000000.0
17115,"Đất thổ cư, đất ở",76.0,15.2,5.0,_,7.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1250000000.0
17116,"Nhà, ngõ, hẻm",108.0,18.0,6.0,_,5.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,15000000000.0
17117,"Nhà, ngõ, hẻm",35.0,8.0,4.0,Tây Bắc,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,4500000000.0
17118,"Nhà mặt phố, nhà mặt tiền",140.0,19.5,7.2,Đông Bắc,15.0,Sổ hồng/ Sổ đỏ,9.0,True,True,True,True,60000000000.0
17119,"Nhà mặt phố, nhà mặt tiền",55.0,,4.5,_,20.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,5650000000.0
17120,"Nhà, ngõ, hẻm",50.0,,4.2,_,20.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,5950000000.0
17121,"Nhà, ngõ, hẻm",55.0,,5.0,_,20.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,3400000000.0
17122,"Nhà mặt phố, nhà mặt tiền",170.0,,5.0,_,20.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,49000000000.0
17123,"Nhà, ngõ, hẻm",27.0,9.0,3.3,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3000000000.0
17124,"Nhà, ngõ, hẻm",92.0,25.0,4.0,_,4.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,7000000000.0
17125,"Nhà mặt phố, nhà mặt tiền",73.0,15.0,5.0,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,14000000000.0
17126,"Nhà, ngõ, hẻm",80.0,17.0,4.0,_,12.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,4500000000.0
17127,"Nhà, ngõ, hẻm",76.0,17.0,4.5,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,6000000000.0
17128,"Đất thổ cư, đất ở",60.0,,4.5,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,4200000000.0
17129,"Nhà mặt phố, nhà mặt tiền",55.0,,5.0,_,8.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,11000000000.0
17130,"Nhà mặt phố, nhà mặt tiền",191.0,23.0,8.0,Đông,20.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,135000000000.0
17131,"Đất thổ cư, đất ở",90.0,18.0,5.0,_,16.0,,,True,True,True,True,1200000000.0
17132,"Đất thổ cư, đất ở",100.0,20.0,5.0,_,,,,True,True,True,True,780000000.0
17133,"Đất thổ cư, đất ở",126.0,25.5,5.0,_,16.0,,,True,True,True,True,500000000.0
17134,"Nhà mặt phố, nhà mặt tiền",1.0,18.0,6.0,_,50.0,,18.0,True,True,True,True,45000000000.0
17135,"Nhà mặt phố, nhà mặt tiền",130.0,18.0,7.0,_,12.0,,5.0,True,True,True,True,32000000000.0
17136,"Đất thổ cư, đất ở",440.0,44.0,10.0,Bắc,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,890000000.0
17137,"Đất thổ cư, đất ở",180.0,36.0,5.0,Bắc,8.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,435000000.0
17138,"Đất thổ cư, đất ở",145.0,24.0,6.0,Nam,50.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3300000000.0
17139,"Đất thổ cư, đất ở",230.0,46.0,5.0,Tây Bắc,4.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,229000000.0
17140,"Nhà mặt phố, nhà mặt tiền",110.0,22.0,5.0,_,15.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,19500000000.0
17141,"Nhà, ngõ, hẻm",65.0,14.0,5.0,_,8.0,,6.0,True,True,True,True,12000000000.0
17142,"Nhà, ngõ, hẻm",50.0,12.0,4.4,_,4.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,8000000000.0
17143,"Nhà, ngõ, hẻm",40.0,8.0,5.0,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,4500000000.0
17144,"Nhà mặt phố, nhà mặt tiền",50.0,13.0,4.0,_,5.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,10700000000.0
17145,"Nhà, ngõ, hẻm",44.0,11.0,4.0,_,4.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,5100000000.0
17146,"Nhà mặt phố, nhà mặt tiền",92.0,12.0,8.0,_,3.0,Sổ hồng/ Sổ đỏ,18.0,True,True,True,True,10700000000.0
17147,"Nhà, ngõ, hẻm",54.0,5.84,3.63,Bắc,2.5,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,3900000000.0
17148,"Nhà mặt phố, nhà mặt tiền",132.0,,9.0,_,8.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,9200000000.0
17149,"Nhà mặt phố, nhà mặt tiền",126.0,,10.0,_,8.0,Sổ hồng/ Sổ đỏ,15.0,True,True,True,True,49000000000.0
17150,"Nhà, ngõ, hẻm",33.0,8.0,4.1,_,3.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,4000000000.0
17151,"Nhà mặt phố, nhà mặt tiền",63.0,,5.0,_,8.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,16300000000.0
17152,"Nhà mặt phố, nhà mặt tiền",42.0,,4.8,_,24.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,9900000000.0
17153,"Nhà, ngõ, hẻm",58.0,,55.0,_,8.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,6500000000.0
17154,"Nhà mặt phố, nhà mặt tiền",82.0,,4.5,_,15.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,17500000000.0
17155,"Nhà mặt phố, nhà mặt tiền",50.0,15.0,5.0,_,40.0,,2.0,True,True,True,True,15900000000.0
17156,"Đất nền, đất liền kề, đất dự án",102.0,20.0,5.0,Đông Bắc,24.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2500000000.0
17157,"Căn hộ, chung cư",57.0,8.0,7.0,Đông Nam,40.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2600000000.0
17158,"Nhà mặt phố, nhà mặt tiền",100.0,11.5,8.4,_,8.0,,4.0,True,True,True,True,21000000000.0
17159,"Nhà mặt phố, nhà mặt tiền",56.0,14.0,4.0,_,12.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,18500000000.0
17160,"Nhà mặt phố, nhà mặt tiền",70.0,17.0,5.45,_,6.0,,3.0,True,True,True,True,7800000000.0
17161,"Nhà mặt phố, nhà mặt tiền",876.0,40.0,15.0,_,25.0,,1.0,True,True,True,True,320000000000.0
17162,"Nhà mặt phố, nhà mặt tiền",30.0,6.0,5.0,_,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,4500000000.0
17163,"Đất nền, đất liền kề, đất dự án",90.0,18.0,5.0,_,7.5,Sổ hồng/ Sổ đỏ,,True,True,True,True,3650000000.0
17164,"Nhà, ngõ, hẻm",100.0,20.0,5.0,_,3.0,,2.0,True,True,True,True,850000000.0
17165,"Nhà, ngõ, hẻm",50.0,12.0,4.2,_,2.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,1650000000.0
17166,"Đất nền, đất liền kề, đất dự án",68.0,15.0,4.5,_,5.5,Sổ hồng/ Sổ đỏ,,True,True,True,True,5800000000.0
17167,"Nhà, ngõ, hẻm",30.0,9.1,3.3,_,2.5,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2900000000.0
17168,"Biệt thự, nhà liền kề",70.0,,5.0,_,12.0,Sổ hồng/ Sổ đỏ,15.0,True,True,True,True,12500000000.0
17169,"Đất thổ cư, đất ở",121.0,23.3,5.21,Tây Nam,4.7,Sổ hồng/ Sổ đỏ,,True,True,True,True,850000000.0
17170,"Nhà, ngõ, hẻm",40.0,11.0,3.5,_,4.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,5600000000.0
17171,"Nhà, ngõ, hẻm",73.0,12.0,5.5,_,10.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,6400000000.0
17172,"Đất thổ cư, đất ở",54.0,14.0,3.95,Bắc,5.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,5500000000.0
17173,"Đất nền, đất liền kề, đất dự án",185.0,18.5,10.0,_,15.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3500000000.0
17174,Nhà hàng khách sạn,120.0,16.0,7.5,_,10.0,Sổ hồng/ Sổ đỏ,16.0,True,True,True,True,11600000000.0
17175,Nhà hàng khách sạn,116.0,16.0,7.5,Đông Nam,20.0,Sổ hồng/ Sổ đỏ,14.0,True,True,True,True,12000000000.0
17176,"Nhà mặt phố, nhà mặt tiền",85.0,17.0,5.0,_,13.0,,4.0,True,True,True,True,4500000000.0
17177,"Biệt thự, nhà liền kề",100.0,17.0,6.0,_,21.0,,4.0,True,True,True,True,10600000000.0
17178,"Biệt thự, nhà liền kề",90.0,18.0,5.0,_,12.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,13000000000.0
17179,"Đất thổ cư, đất ở",48.0,13.6,3.5,_,4.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,3400000000.0
17180,"Nhà, ngõ, hẻm",42.0,11.7,3.5,_,5.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,5750000000.0
17181,"Nhà, ngõ, hẻm",46.0,12.0,4.0,Đông Bắc,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,7300000000.0
17182,"Phòng trọ, nhà trọ",86.0,18.0,5.0,_,5.0,Sổ hồng/ Sổ đỏ,19.0,True,True,True,True,14500000000.0
17183,"Nhà, ngõ, hẻm",68.0,17.0,4.0,_,5.0,Giấy tờ hợp lệ,3.0,True,True,True,True,1650000000.0
17184,"Nhà mặt phố, nhà mặt tiền",32.0,5.0,,_,4.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,6500000000.0
17185,"Nhà, ngõ, hẻm",100.0,16.0,6.0,Đông Nam,8.0,Sổ hồng/ Sổ đỏ,9.0,True,True,True,True,9900000000.0
17186,"Nhà mặt phố, nhà mặt tiền",85.0,17.0,5.0,_,6.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,1200000000.0
17187,"Nhà, ngõ, hẻm",500.0,20.0,5.5,_,8.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,9600000000.0
17188,"Nhà mặt phố, nhà mặt tiền",100.0,25.0,4.0,_,12.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,12000000000.0
17189,"Nhà, ngõ, hẻm",24.0,,6.0,_,5.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,19800000000.0
17190,"Nhà, ngõ, hẻm",37.0,,9.8,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,5900000000.0
17191,"Nhà, ngõ, hẻm",27.0,,3.0,_,4.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,4490000000.0
17192,"Nhà, ngõ, hẻm",43.0,,3.1,_,6.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,7900000000.0
17193,"Nhà, ngõ, hẻm",65.0,,5.0,_,5.0,Sổ hồng/ Sổ đỏ,7.0,True,True,True,True,11900000000.0
17194,"Nhà, ngõ, hẻm",89.0,,6.0,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,9990000000.0
17195,"Nhà, ngõ, hẻm",92.0,,3.9,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,11000000000.0
17196,"Nhà mặt phố, nhà mặt tiền",97.0,,5.5,_,8.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,24000000000.0
17197,"Đất thổ cư, đất ở",3.5,90.0,35.0,_,4.5,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,1900000000.0
17198,"Biệt thự, nhà liền kề",100.0,20.0,5.0,Nam,12.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2850000000.0
17199,"Đất thổ cư, đất ở",300.0,20.0,15.0,_,2.5,Sổ hồng/ Sổ đỏ,,True,True,True,True,15600000000.0
17200,"Nhà, ngõ, hẻm",45.0,12.5,3.6,_,2.7,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,4800000000.0
17201,"Đất thổ cư, đất ở",111.0,12.9,8.6,_,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,10800000000.0
17202,"Nhà mặt phố, nhà mặt tiền",150.0,15.0,10.0,Tây Nam,14.0,Sổ hồng/ Sổ đỏ,12.0,True,True,True,True,12000000000.0
17203,"Nhà mặt phố, nhà mặt tiền",150.0,21.0,7.0,Đông Nam,30.0,Sổ hồng/ Sổ đỏ,12.0,True,True,True,True,1650000000.0
17204,"Nhà, ngõ, hẻm",150.0,25.0,6.0,_,4.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2900000000.0
17205,"Nhà, ngõ, hẻm",300.0,30.0,10.0,_,6.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,4550000000.0
17206,"Nhà, ngõ, hẻm",100.0,,4.4,_,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,9700000000.0
17207,"Đất thổ cư, đất ở",105.0,20.0,5.0,_,4.0,,,True,True,True,True,1400000000.0
17208,"Biệt thự, nhà liền kề",216.0,36.0,12.0,_,5.0,,3.0,True,True,True,True,4200000000.0
17209,"Đất thổ cư, đất ở",143.0,12.0,12.0,_,5.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1350000000.0
17210,"Đất nền, đất liền kề, đất dự án",114.0,19.0,6.0,_,6.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,750000000.0
17211,"Đất thổ cư, đất ở",125.0,21.0,6.0,_,5.0,,,True,True,True,True,1450000000.0
17212,"Đất thổ cư, đất ở",3.5,50.0,70.0,_,4.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,7700000000.0
17213,"Nhà, ngõ, hẻm",35.0,,4.0,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3100000000.0
17214,"Nhà, ngõ, hẻm",150.0,,4.0,_,3.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,18500000000.0
17215,"Nhà, ngõ, hẻm",50.0,,5.0,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3500000000.0
17216,"Nhà, ngõ, hẻm",42.0,,4.0,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3400000000.0
17217,"Nhà, ngõ, hẻm",71.0,,5.0,_,4.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,5000000000.0
17218,"Nhà, ngõ, hẻm",70.0,,5.0,_,4.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,13500000000.0
17219,"Nhà, ngõ, hẻm",45.0,,6.0,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3600000000.0
17220,"Nhà, ngõ, hẻm",50.0,,4.0,_,6.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,8100000000.0
17221,"Nhà, ngõ, hẻm",70.0,,5.0,_,4.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,10200000000.0
17222,"Nhà, ngõ, hẻm",60.0,,5.0,_,4.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,9600000000.0
17223,"Nhà, ngõ, hẻm",35.0,,3.5,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3750000000.0
17224,"Nhà, ngõ, hẻm",60.0,,5.5,_,5.0,Sổ hồng/ Sổ đỏ,8.0,True,True,True,True,13300000000.0
17225,"Nhà, ngõ, hẻm",50.0,,4.5,_,3.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,5300000000.0
17226,"Nhà mặt phố, nhà mặt tiền",32.0,,4.5,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3500000000.0
17227,"Nhà, ngõ, hẻm",60.0,,5.0,_,2.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,3550000000.0
17228,"Nhà mặt phố, nhà mặt tiền",52.0,,6.0,_,20.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,30000000000.0
17229,"Nhà mặt phố, nhà mặt tiền",55.0,15.0,4.0,_,10.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,11000000000.0
17230,"Nhà mặt phố, nhà mặt tiền",55.0,12.0,5.0,_,10.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,14000000000.0
17231,"Nhà mặt phố, nhà mặt tiền",60.0,10.0,6.0,_,12.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,12800000000.0
17232,Mặt bằng kinh doanh,108.0,15.0,7.0,_,16.0,Sổ hồng/ Sổ đỏ,10.0,True,True,True,True,26500000000.0
17233,"Nhà mặt phố, nhà mặt tiền",240.0,31.0,8.0,_,16.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,26000000000.0
17234,"Biệt thự, nhà liền kề",150.0,18.0,8.0,_,8.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,24000000000.0
17235,"Nhà mặt phố, nhà mặt tiền",52.0,12.0,4.5,_,8.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,12800000000.0
17236,"Đất nền, đất liền kề, đất dự án",93.0,16.8,6.3,Tây Nam,36.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,4490000000.0
17237,"Đất nền, đất liền kề, đất dự án",168.0,28.0,6.0,Tây Bắc,20.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2950000000.0
17238,"Phòng trọ, nhà trọ",115.0,19.2,6.0,_,5.0,Sổ hồng/ Sổ đỏ,26.0,True,True,True,True,16000000000.0
17239,"Nhà, ngõ, hẻm",112.0,26.5,4.2,_,4.0,,4.0,True,True,True,True,5300000000.0
17240,"Nhà, ngõ, hẻm",29.0,5.0,6.0,Tây,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,4900000000.0
17241,"Đất thổ cư, đất ở",100.0,28.0,5.0,_,5.0,,,True,True,True,True,350000000.0
17242,"Đất thổ cư, đất ở",680.0,31.0,22.0,_,30.0,,8.0,True,True,True,True,140000000000.0
17243,"Nhà, ngõ, hẻm",40.0,10.0,4.0,_,6.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,5000000000.0
17244,"Nhà mặt phố, nhà mặt tiền",75.0,16.0,4.0,_,30.0,,6.0,True,True,True,True,35000000000.0
17245,"Nhà mặt phố, nhà mặt tiền",420.0,27.0,13.0,_,30.0,,8.0,True,True,True,True,305000000000.0
17246,"Đất thổ cư, đất ở",60.0,,4.0,_,4.0,,,True,True,True,True,1680000000.0
17247,"Đất thổ cư, đất ở",40.0,,4.0,_,2.5,Sổ hồng/ Sổ đỏ,,True,True,True,True,1100000000.0
17248,"Nhà mặt phố, nhà mặt tiền",200.0,23.0,5.0,Tây,8.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,3690000000.0
17249,"Nhà, ngõ, hẻm",84.0,11.0,4.0,Bắc,7.0,Giấy tờ hợp lệ,2.0,True,True,True,True,1050000000.0
17250,"Biệt thự, nhà liền kề",80.0,,4.5,_,13.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,5200000000.0
17251,"Nhà mặt phố, nhà mặt tiền",40.0,,4.0,_,10.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,5100000000.0
17252,"Nhà mặt phố, nhà mặt tiền",40.0,,4.0,_,8.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,5000000000.0
17253,"Nhà, ngõ, hẻm",56.0,16.0,3.5,_,3.5,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,6500000000.0
17254,"Đất thổ cư, đất ở",292.0,20.0,15.0,Tây,16.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,5150000000.0
17255,"Đất thổ cư, đất ở",150.0,25.0,6.0,Tây Nam,13.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3550000000.0
17256,"Nhà, ngõ, hẻm",45.0,10.0,4.5,_,5.0,,1.0,True,True,True,True,5700000000.0
17257,"Nhà, ngõ, hẻm",35.0,12.0,3.0,_,3.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,3950000000.0
17258,"Nhà, ngõ, hẻm",70.0,15.0,4.2,_,3.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,6600000000.0
17259,"Nhà mặt phố, nhà mặt tiền",55.0,15.0,3.5,_,10.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,64500000000.0
17260,"Nhà, ngõ, hẻm",45.0,12.5,3.7,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,8900000000.0
17261,"Nhà, ngõ, hẻm",70.0,16.0,3.7,_,4.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,8300000000.0
17262,"Nhà, ngõ, hẻm",45.0,,5.0,_,4.0,,4.0,True,True,True,True,3600000000.0
17263,"Nhà, ngõ, hẻm",48.0,,5.0,_,4.0,,4.0,True,True,True,True,3500000000.0
17264,"Đất nền, đất liền kề, đất dự án",120.0,25.0,5.0,Đông,13.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1920000000.0
17265,"Đất thổ cư, đất ở",150.0,29.0,5.0,_,8.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,780000000.0
17266,"Đất thổ cư, đất ở",270.0,26.0,11.0,Đông Nam,15.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2200000000.0
17267,"Đất thổ cư, đất ở",110.0,22.0,5.0,Tây Nam,24.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,4500000000.0
17268,"Đất thổ cư, đất ở",115.0,23.0,5.0,Tây,8.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,580000000.0
17269,"Đất thổ cư, đất ở",100.0,20.0,5.0,Bắc,15.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1995000000.0
17270,"Nhà mặt phố, nhà mặt tiền",138.0,28.0,5.0,Bắc,15.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,3600000000.0
17271,"Đất thổ cư, đất ở",91.0,17.5,5.2,Đông,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1850000000.0
